algo,n,rep,hauteur,prof_feuilles,taille_gauche,time_ms
Remy,50,1,18,9.1373,11,0.1040
ABR,50,1,11,7.0000,13,0.0360
Remy,50,2,19,9.2157,0,0.0679
ABR,50,2,10,6.3333,25,0.0341
Remy,50,3,16,11.2157,0,0.0689
ABR,50,3,11,7.0196,23,0.0319
Remy,50,4,25,12.8235,48,0.0682
ABR,50,4,12,7.3333,1,0.0329
Remy,50,5,18,9.9412,1,0.0679
ABR,50,5,9,6.3725,21,0.0331
Remy,50,6,14,8.4510,48,0.0689
ABR,50,6,10,6.4902,13,0.0341
Remy,50,7,17,10.3922,49,0.0691
ABR,50,7,11,6.6667,27,0.0329
Remy,50,8,13,8.3529,0,0.0682
ABR,50,8,11,7.1569,41,0.0710
Remy,50,9,16,9.6863,38,0.7570
ABR,50,9,14,7.7647,4,0.3359
Remy,50,10,17,10.2157,0,0.3171
ABR,50,10,12,7.7255,2,0.1881
Remy,50,11,17,10.6078,49,0.1509
ABR,50,11,11,7.4314,6,0.0510
Remy,50,12,13,7.7647,1,0.1221
ABR,50,12,11,6.9804,41,0.0451
Remy,50,13,14,9.2157,49,0.3190
ABR,50,13,11,7.2549,1,0.0520
Remy,50,14,17,10.7255,0,0.0858
ABR,50,14,9,6.5098,15,0.0420
Remy,50,15,21,11.1373,47,0.1142
ABR,50,15,11,7.1765,35,0.1051
Remy,50,16,15,9.3333,0,0.1500
ABR,50,16,11,6.4902,29,0.0539
Remy,50,17,19,10.6275,49,0.1030
ABR,50,17,11,7.7451,1,0.0520
Remy,50,18,17,8.8431,47,0.1020
ABR,50,18,13,7.7451,43,0.0379
Remy,50,19,16,10.0392,0,0.0801
ABR,50,19,8,6.0196,23,0.0331
Remy,50,20,19,12.1765,0,0.0730
ABR,50,20,11,7.0000,35,0.0339
Remy,50,21,15,8.7255,33,0.1121
ABR,50,21,10,6.3529,17,0.0300
Remy,50,22,14,9.6471,49,0.0520
ABR,50,22,11,6.9804,9,0.0281
Remy,50,23,15,8.5294,21,0.0422
ABR,50,23,13,8.5490,1,0.0281
Remy,50,24,15,8.5882,2,0.0432
ABR,50,24,9,6.5294,44,0.0279
Remy,50,25,18,10.4510,0,0.0510
ABR,50,25,10,6.6471,14,0.0291
Remy,50,26,18,10.9412,49,0.0410
ABR,50,26,9,6.3529,40,0.0260
